OPEID,School Name,City,State,Year,Foreign Gift Received Date,Foreign Gift Amount,Adjusted to 2013 Dollars,Gift Type,Country of Giftor,Giftor Name,Comments
232500,University of Michigan - Ann Arbor,Ann Arbor,MI,2012,12/12/12,"$148,050.00 ",,Contract,SOUTH KOREA,Samsung Group,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,4/25/12,$1.00 ,$1.01 ,Monetary Gift,AUSTRALIA,,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,3/15/12,$1.00 ,$1.01 ,Monetary Gift,ENGLAND,,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,5/23/12,$10.00 ,$10.15 ,Monetary Gift,SOUTH KOREA,,
131400,"University of California, Irvine",Irvine,CA,1997,12/12/12,"$292,352.00 ",,Contract,JAPAN,Chugai Pharmaceutical Co Ltd,
173900,Northwestern University,Evanston,IL,2006,12/11/12,"$168,720.00 ",,Contract,SWITZERLAND,AO Foundation,
232500,University of Michigan - Ann Arbor,Ann Arbor,MI,2004,12/11/12,"$155,500.00 ",,Contract,KUWAIT,Samsung Group,
232500,University of Michigan - Ann Arbor,Ann Arbor,MI,2001,12/11/12,"$152,754.00 ",,Contract,ENGLAND,GlaxoSmithKline,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,6/8/12,$20.00 ,$20.30 ,Monetary Gift,ENGLAND,,
212100,Babson College,Babson Park,MA,2009,12/10/12,"$20,000.00 ",,Contract,BRAZIL,B.I. International,
212100,Babson College,Babson Park,MA,2009,12/10/12,"$118,280.00 ",,Contract,SWITZERLAND,Novartis International AG,
159800,University of Georgia,Athens,GA,1997,12/7/12,"$281,164.00 ",,Contract,JAPAN,Radiation Effects Research Fdn,
207700,Johns Hopkins University,Baltimore,MD,2012,11/1/12,$25.00 ,$25.37 ,Monetary Gift,SWEDEN,,
232500,University of Michigan - Ann Arbor,Ann Arbor,MI,2012,12/5/12,"$133,934.00 ",,Contract,SOUTH KOREA,Samsung Group,
232500,University of Michigan - Ann Arbor,Ann Arbor,MI,2012,12/5/12,"$136,679.00 ",,Contract,SOUTH KOREA,Samsung Group,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,6/25/12,$25.00 ,$25.37 ,Monetary Gift,ENGLAND,,
212100,Babson College,Babson Park,MA,2009,12/4/12,"$4,625.00 ",,Contract,BRAZIL,B.I. International,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,6/8/12,$30.00 ,$30.44 ,Monetary Gift,ENGLAND,,
290300,Yeshiva University,New York,NY,1997,3/10/97,$500.00 ,,Monetary Gift,CANADA,Koschitzky Family,"The Koschitzky Family pledged $500.00 (American) for an Endowed Chair in Jewish Education; reported by school, for the period 8/1/96 thru 7/31/97, in a 12/1/97 letter to ED, Inst. Elig. Branch, & forwarded to NYCMT."
131500,"University of California, Los Angeles",Los Angeles,CA,2012,1/20/12,$31.00 ,$31.46 ,Monetary Gift,ENGLAND,,
199900,University of Louisville,Louisville,KY,2012,9/18/12,$35.00 ,$35.52 ,Monetary Gift,CANADA,"Mark Andrew Fendley, J.D.",
131500,"University of California, Los Angeles",Los Angeles,CA,2012,1/30/12,$39.00 ,$39.58 ,Monetary Gift,ENGLAND,,
207700,Johns Hopkins University,Baltimore,MD,2012,12/1/12,$45.00 ,$45.67 ,Monetary Gift,GREECE,,
342500,Clemson University,Clemson,SC,1987,4/20/87,"$375,000.00 ",,Monetary Gift,EGYPT,Univ of Cairo,The foreign gift listed was an endowed fund for the Pell Center for International Studies.  It does not involve a contract.  This is the first time we have received a gift from a foreign source.
262700,Princeton University,Princeton,NJ,2012,2/9/12,$48.00 ,$48.71 ,Monetary Gift,ENGLAND,Princeton Charitable Foundation Ltd,
130500,Stanford University,Stanford,CA,2012,12/6/12,$50.00 ,$50.74 ,Monetary Gift,HONG KONG,,
207700,Johns Hopkins University,Baltimore,MD,2012,7/1/12,$50.00 ,$50.74 ,Monetary Gift,PERU,,
207700,Johns Hopkins University,Baltimore,MD,2012,7/1/12,$50.00 ,$50.74 ,Monetary Gift,BELGIUM,,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,6/30/12,$50.00 ,$50.74 ,Monetary Gift,AUSTRALIA,,
199900,University of Louisville,Louisville,KY,2012,6/30/12,$50.00 ,$50.74 ,Monetary Gift,GERMANY,Peter Brem,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,6/24/12,$50.00 ,$50.74 ,Monetary Gift,JAPAN,,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,6/13/12,$50.00 ,$50.74 ,Monetary Gift,AUSTRALIA,,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,6/9/12,$50.00 ,$50.74 ,Monetary Gift,ENGLAND,,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,6/1/12,$50.00 ,$50.74 ,Monetary Gift,SOUTH KOREA,,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,5/31/12,$50.00 ,$50.74 ,Monetary Gift,SOUTH KOREA,,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,5/1/12,$50.00 ,$50.74 ,Monetary Gift,AUSTRALIA,,
221900,Tufts University,Medford,MA,1987,12/1/12,"$1,610,290.00 ",,Contract,SAUDI ARABIA,King Abdul -Aziz University,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,4/30/12,$50.00 ,$50.74 ,Monetary Gift,SOUTH KOREA,,
108100,Arizona State University,Tempe,AZ,2009,11/30/12,"$227,225.00 ",,Contract,KAZAKHSTAN,JSC Center for International Prog.,
212100,Babson College,Babson Park,MA,2009,11/30/12,"$54,925.00 ",,Contract,BRAZIL,B.I. International,
212100,Babson College,Babson Park,MA,2009,11/30/12,"$166,666.00 ",,Contract,COLOMBIA,Universidad Autonoma de Manizales,
374900,George Mason University,Fairfax,VA,2000,11/30/12,"$447,014.00 ",,Contract,UNITED ARAB EMIRATES,Embassy of the United Arab Emirates,
374900,George Mason University,Fairfax,VA,2008,11/30/12,"$3,988,352.00 ",,Contract,SAUDI ARABIA,Royal Embassy of Saudi Arabia,
282300,Saint John's University,Jamaica,NY,2002,11/30/12,"$78,388.00 ",,Contract,FRANCE,La Province Autonome en France,
221900,Tufts University,Medford,MA,2006,11/29/12,"$250,000.00 ",,Contract,SAUDI ARABIA,Umm-Al-Qura University,
212100,Babson College,Babson Park,MA,2009,11/28/12,$719.00 ,,Contract,SWITZERLAND,Novartis International AG,
282300,Saint John's University,Jamaica,NY,2002,11/28/12,"$81,659.00 ",,Contract,FRANCE,La Province Autonome en France,
282300,Saint John's University,Jamaica,NY,2002,11/28/12,"$28,458.00 ",,Contract,ITALY,Instalaciones Y Turismo Joven,
282300,Saint John's University,Jamaica,NY,2006,11/28/12,"$24,436.00 ",,Contract,ITALY,Instalaciones Y Turismo Joven,
212100,Babson College,Babson Park,MA,2009,11/26/12,"$110,514.00 ",,Contract,SAUDI ARABIA,Saudi Basic Industries Corporation,
212100,Babson College,Babson Park,MA,2009,11/20/12,"$45,925.00 ",,Contract,CHILE,Universidad del Desarrollo,
173900,Northwestern University,Evanston,IL,2006,11/20/12,"$475,000.00 ",,Contract,SAUDI ARABIA,King Abdulaziz City for Science,
198900,University of Kentucky,Lexington,KY,2004,11/20/12,"$1,311.00 ",,Contract,FRANCE,AB Science,
252000,Washington University in St. Louis,St Louis,MO,2012,11/19/12,"$361,995.00 ",,Contract,SOUTH KOREA,Samsung,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,3/30/12,$50.00 ,$50.74 ,Monetary Gift,ENGLAND,,
232500,University of Michigan - Ann Arbor,Ann Arbor,MI,2004,11/16/12,"$112,000.00 ",,Contract,INDIA,Glenmark Pharmaceuticals,
232500,University of Michigan - Ann Arbor,Ann Arbor,MI,1997,11/16/12,"$185,114.00 ",,Contract,JAPAN,"Nissan Technical Ctr, N A",
131400,"University of California, Irvine",Irvine,CA,2001,11/15/12,"$446,518.00 ",,Contract,JAPAN,Astellas Pharma Inc,
407200,Northwood University,Midland,MI,1997,11/13/12,"$499,080.00 ",,Contract,SWITZERLAND,Hotel Institute Montreux,
212100,Babson College,Babson Park,MA,2009,11/9/12,"$78,000.00 ",,Contract,SCOTLAND,Saltire Foundation,
232500,University of Michigan - Ann Arbor,Ann Arbor,MI,2004,11/8/12,"$111,325.00 ",,Contract,THE NETHERLANDS,Elsevier Science B.V.,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,2/15/12,$50.00 ,$50.74 ,Monetary Gift,ENGLAND,,
212100,Babson College,Babson Park,MA,2009,11/6/12,"$260,000.00 ",,Contract,SCOTLAND,Saltire Foundation,
232500,University of Michigan - Ann Arbor,Ann Arbor,MI,2004,11/5/12,"$456,607.00 ",,Contract,SWITZERLAND,Novartis,
108100,Arizona State University,Tempe,AZ,2009,11/4/12,"$12,908.00 ",,Contract,KAZAKHSTAN,JSC Center for International Prog.,
173900,Northwestern University,Evanston,IL,2006,11/2/12,"$23,925.00 ",,Contract,ENGLAND,corporation,
232500,University of Michigan - Ann Arbor,Ann Arbor,MI,1997,11/2/12,"$125,000.00 ",,Contract,JAPAN,Denso Corporation,
207700,Johns Hopkins University,Baltimore,MD,2012,1/30/12,$53.00 ,$53.78 ,Monetary Gift,THE NETHERLANDS,,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,2/15/12,$60.00 ,$60.89 ,Monetary Gift,ENGLAND,,
207700,Johns Hopkins University,Baltimore,MD,2012,9/1/12,$65.00 ,$65.96 ,Monetary Gift,TAIWAN,,
161000,University of Hawaii at Manoa,Honolulu,HI,1995,8/2/95,"$779,500.00 ",,Monetary Gift,NEW ZEALAND,,"New Zealand -- 3 gifts of these quantities:
$256,500      $163,000        $360,000"
207700,Johns Hopkins University,Baltimore,MD,2012,8/1/12,$75.00 ,$76.11 ,Monetary Gift,BELGIUM,,
199900,University of Louisville,Louisville,KY,2012,4/27/12,$75.00 ,$76.11 ,Monetary Gift,CANADA,Charles Tim Allan,
199900,University of Louisville,Louisville,KY,2012,4/27/12,$75.00 ,$76.11 ,Monetary Gift,CANADA,Madelaine Allan,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,1/10/12,$76.00 ,$77.13 ,Monetary Gift,ENGLAND,,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,4/30/12,$90.00 ,$91.33 ,Monetary Gift,JAPAN,,
207700,Johns Hopkins University,Baltimore,MD,2012,12/1/12,$100.00 ,$101.48 ,Monetary Gift,INDIA,,
207700,Johns Hopkins University,Baltimore,MD,2012,12/1/12,$100.00 ,$101.48 ,Monetary Gift,TAIWAN,,
199900,University of Louisville,Louisville,KY,2012,10/22/12,$100.00 ,$101.48 ,Monetary Gift,GREECE,Nectarios George Panteleou,
161000,University of Hawaii at Manoa,Honolulu,HI,1995,8/3/95,"$2,729,968.00 ",,Monetary Gift,JAPAN,,"Japan -- 8 gifts of these quantities:
$321,659      $286,648        $134,072       $555,691
$247,647      $117,226        $851,025       $206,000"
131500,"University of California, Los Angeles",Los Angeles,CA,2012,6/29/12,$100.00 ,$101.48 ,Monetary Gift,JAPAN,,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,6/20/12,$100.00 ,$101.48 ,Monetary Gift,ENGLAND,,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,6/18/12,$100.00 ,$101.48 ,Monetary Gift,BRAZIL,,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,6/9/12,$100.00 ,$101.48 ,Monetary Gift,JAPAN,,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,5/21/12,$100.00 ,$101.48 ,Monetary Gift,JAPAN,,
252000,Washington University in St. Louis,St Louis,MO,1997,1/31/97,"$395,689.00 ",,Monetary Gift,FRANCE,HFSPO,"HFSPO-Human Frontier Science Program Organization, Tour Europe, 20 Place Des Halles, 67080 Strasbourg Cedex, FRANCE  Total Funds Received-$395,689  Purpose:$30,000-Research:  Super Antigens: Role in T-Cell Development, $37,166-Research:  Molecular Charact"
113100,California Institute of Technology,Pasadena,CA,2012,4/26/12,$100.00 ,$101.48 ,Monetary Gift,JAPAN,Dr. and Mrs. Tadashi Hirayama,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,3/20/12,$100.00 ,$101.48 ,Monetary Gift,ENGLAND,,
212100,Babson College,Babson Park,MA,2009,10/31/12,"$10,000.00 ",,Contract,BRAZIL,B.I. International,
212100,Babson College,Babson Park,MA,2009,10/31/12,$719.00 ,,Contract,SWITZERLAND,Novartis International AG,
282300,Saint John's University,Jamaica,NY,2006,10/31/12,"$25,860.00 ",,Contract,FRANCE,La Province Autonome en France,
252000,Washington University in St. Louis,St Louis,MO,1987,10/30/12,"$496,544.00 ",,Contract,JAPAN,Ono Pharmaceutical,
212800,Boston College,Chestnut Hill,MA,2000,1/29/00,"$505,900.00 ",,Monetary Gift,THE NETHERLANDS,IEA,Gift Recv'd From:  International Assiciation for the Educational Achievement (IEA) located in Netherlands.
232500,University of Michigan - Ann Arbor,Ann Arbor,MI,2004,10/26/12,"$4,982,041.00 ",,Contract,QATAR,Qatar University,
232500,University of Michigan - Ann Arbor,Ann Arbor,MI,1997,10/26/12,"$846,795.00 ",,Contract,SWITZERLAND,"Hoffman-Laroche, Inc",
215500,Harvard University,Cambridge,MA,2006,10/25/12,"$2,985.00 ",,Contract,PORTUGAL,,
131400,"University of California, Irvine",Irvine,CA,2005,10/25/12,"$644,767.00 ",,Contract,ENGLAND,"Glaxo Smith Kline, Inc",
374900,George Mason University,Fairfax,VA,2012,10/24/12,"$270,715.00 ",,Contract,SOUTH KOREA,Incheon Free Economic Zone Auth,
108100,Arizona State University,Tempe,AZ,2009,10/24/12,"$3,028.00 ",,Contract,KAZAKHSTAN,JSC Center for International Prog.,
212100,Babson College,Babson Park,MA,2009,10/24/12,"$19,250.00 ",,Contract,BRAZIL,B.I. International,
374900,George Mason University,Fairfax,VA,2008,10/24/12,"$419,547.00 ",,Contract,ITALY,Instituto Superiore di Sanita,
282300,Saint John's University,Jamaica,NY,2002,10/24/12,"$269,440.00 ",,Contract,FRANCE,International School of Management,
282300,Saint John's University,Jamaica,NY,2006,10/24/12,"$69,000.00 ",,Contract,FRANCE,International School of Management,
212800,Boston College,Chestnut Hill,MA,1996,2/10/96,"$1,740,463.00 ",,Monetary Gift,THE NETHERLANDS,(IEA),Gift Recv'd From:  International Assiciation for the Educational Achievement (IEA) located in Netherlands.
173900,Northwestern University,Evanston,IL,2006,10/23/12,"$142,454.00 ",,Contract,CANADA,Univeristy of Alberta,
282300,Saint John's University,Jamaica,NY,2006,10/23/12,"$165,209.00 ",,Contract,ITALY,Euro Master Studies S.r.l,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,3/15/12,$100.00 ,$101.48 ,Monetary Gift,JAPAN,,
144500,Georgetown University,Washington,DC,2007,10/22/12,"$416,000.00 ",,Contract,CHINA,China Construction Bank," 6) China Construction Bank (China) - $416,000 for an executive education program;"
131500,"University of California, Los Angeles",Los Angeles,CA,2012,3/9/12,$100.00 ,$101.48 ,Monetary Gift,ENGLAND,,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,2/27/12,$100.00 ,$101.48 ,Monetary Gift,ENGLAND,,
252000,Washington University in St. Louis,St Louis,MO,2003,10/19/12,"$437,890.00 ",,Contract,AUSTRALIA,University of Sydney,
212100,Babson College,Babson Park,MA,2009,10/18/12,"$129,293.00 ",,Contract,SWITZERLAND,Novartis International AG,
212100,Babson College,Babson Park,MA,#REF!,10/18/12,"$20,000.00 ",,Contract,BRAZIL,B.I. International,
212100,Babson College,Babson Park,MA,2009,10/18/12,"$75,000.00 ",,Contract,SCOTLAND,Saltire Foundation,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,1/31/12,$100.00 ,$101.48 ,Monetary Gift,JAPAN,,
232500,University of Michigan - Ann Arbor,Ann Arbor,MI,1993,10/13/12,"$2,300,000.00 ",,Contract,ENGLAND,Reuters Limited,
232500,University of Michigan - Ann Arbor,Ann Arbor,MI,2004,10/12/12,"$459,158.00 ",,Contract,ENGLAND,GlaxoSmithKline,
141700,University of Connecticut,Storrs,CT,1996,7/31/96,"$799,917.00 ",,Monetary Gift,JAPAN,,"Foreign Sponsor              Total Awarded            Performance Dates
Honda R&D Co                  $266,639                 02/01/96-02/01/98
Hokushin Industry             $266,639                 02/01/96-02/01/98
Fufitsu Labs                  $266,63"
131500,"University of California, Los Angeles",Los Angeles,CA,2012,1/26/12,$100.00 ,$101.48 ,Monetary Gift,JAPAN,,
107000,Thunderbird School of Global Management,Glendale,AZ,2000,5/26/00,"$300,000.00 ",,Monetary Gift,SOUTH KOREA,Dr. Se-Ung Lee,"For Section K, Question #71 - response to the foreign gift:  The foreign source listed which provided the $300,000 donation does not have an invested/controlling interest in our institution.  The donor is not a member of the Board of Trustees."
212100,Babson College,Babson Park,MA,2009,10/3/12,"$45,234.00 ",,Contract,CHILE,Universidad del Desarrollo,
144300,Gallaudet University,Washington,DC,1994,3/15/94,"$1,000,000.00 ",,Monetary Gift,JAPAN,,Financial Assistance to Deaf Students.
131500,"University of California, Los Angeles",Los Angeles,CA,2012,1/10/12,$114.00 ,$115.69 ,Monetary Gift,ENGLAND,,
143400,American University (The),Washington,DC,1994,3/15/94,"$500,000.00 ",,Monetary Gift,BAHRAIN,,Earmarked for the Schl of Business
131500,"University of California, Los Angeles",Los Angeles,CA,2012,5/11/12,$118.00 ,$119.75 ,Monetary Gift,ENGLAND,,
365900,University of Texas Health Science Center at San Antonio,San Antonio,TX,1987,11/1/87,"$485,000.00 ",,Monetary Gift,JAPAN,,"Document Name:  Program Agreement for Joint Postdoctoral Program Effective Date: August 28, 2008 Parties:  The University of Texas Health Science Center at Houston (UTHSC-H) and Facultad de Medicing y Hospital Universitario de la Universidad de Nuevo Leo"
131500,"University of California, Los Angeles",Los Angeles,CA,2012,5/15/12,$120.00 ,$121.78 ,Monetary Gift,JAPAN,,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,6/15/12,$125.00 ,$126.85 ,Monetary Gift,JAPAN,,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,6/12/12,$125.00 ,$126.85 ,Monetary Gift,JAPAN,,
207700,Johns Hopkins University,Baltimore,MD,2012,12/1/12,$135.00 ,$137.00 ,Monetary Gift,SPAIN,,
262700,Princeton University,Princeton,NJ,2012,3/2/12,$137.00 ,$139.03 ,Monetary Gift,ENGLAND,Princeton Charitable Foundation Ltd,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,6/29/12,$150.00 ,$152.22 ,Monetary Gift,ENGLAND,,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,6/6/12,$150.00 ,$152.22 ,Monetary Gift,BRAZIL,,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,6/2/12,$150.00 ,$152.22 ,Monetary Gift,SOUTH KOREA,,
207700,Johns Hopkins University,Baltimore,MD,2012,5/31/12,$150.00 ,$152.22 ,Monetary Gift,TAIWAN,,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,5/30/12,$150.00 ,$152.22 ,Monetary Gift,SOUTH KOREA,,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,5/30/12,$150.00 ,$152.22 ,Monetary Gift,JAPAN,,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,5/2/12,$150.00 ,$152.22 ,Monetary Gift,JAPAN,,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,6/26/12,$200.00 ,$202.96 ,Monetary Gift,JAPAN,,
199900,University of Louisville,Louisville,KY,2012,6/12/12,$200.00 ,$202.96 ,Monetary Gift,CANADA,Dennis Allan Rukavina,
221900,Tufts University,Medford,MA,2006,10/1/12,"$696,022.00 ",,Contract,IRELAND,Concern Worldwide,
159800,University of Georgia,Athens,GA,2005,9/30/12,"$286,000.00 ",,Contract,SAUDI ARABIA,King Abdulaziz University,
212100,Babson College,Babson Park,MA,2009,9/28/12,"$100,000.00 ",,Contract,CHINA,Xiamen University,
212100,Babson College,Babson Park,MA,2009,9/28/12,"$26,114.00 ",,Contract,CHILE,Universidad del Desarrollo,
212100,Babson College,Babson Park,MA,2009,9/28/12,"$81,605.00 ",,Contract,THE NETHERLANDS,DSM Business Support BV,
232500,University of Michigan - Ann Arbor,Ann Arbor,MI,1994,9/27/12,"$160,000.00 ",,Contract,ENGLAND,Defense Science &Tech Laboratory,
282300,Saint John's University,Jamaica,NY,2001,9/26/12,"$32,886.00 ",,Contract,ITALY,Instalaciones Y Turismo Joven,
282300,Saint John's University,Jamaica,NY,2006,9/26/12,"$304,890.00 ",,Contract,FRANCE,International School of Management,
232500,University of Michigan - Ann Arbor,Ann Arbor,MI,1992,9/26/12,"$169,355.00 ",,Contract,GERMANY,Straumann USA,
144500,Georgetown University,Washington,DC,2006,9/24/12,"$333,256.00 ",,Contract,BRAZIL,Government of Brazil,"4) Government of Brazil (Brazil) - $333,256 for an academic training program; "
173900,Northwestern University,Evanston,IL,2006,9/24/12,"$237,500.00 ",,Contract,SAUDI ARABIA,King Abdulaziz City for Science,
207700,Johns Hopkins University,Baltimore,MD,2012,5/31/12,$200.00 ,$202.96 ,Monetary Gift,AUSTRALIA,,
282300,Saint John's University,Jamaica,NY,2006,9/20/12,"$84,178.00 ",,Contract,FRANCE,La Province Autonome en France,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,5/30/12,$200.00 ,$202.96 ,Monetary Gift,JAPAN,,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,4/15/12,$200.00 ,$202.96 ,Monetary Gift,JAPAN,,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,1/26/12,$200.00 ,$202.96 ,Monetary Gift,JAPAN,,
207700,Johns Hopkins University,Baltimore,MD,2012,10/1/12,$225.00 ,$228.33 ,Monetary Gift,GREECE,,
199900,University of Louisville,Louisville,KY,2012,8/29/12,$250.00 ,$253.70 ,Monetary Gift,CANADA,Peter Uremovich,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,6/30/12,$250.00 ,$253.70 ,Monetary Gift,SOUTH KOREA,,
108100,Arizona State University,Tempe,AZ,2009,9/14/12,"$12,438.00 ",,Contract,KAZAKHSTAN,JSC Center for International Prog.,
131500,"University of California, Los Angeles",Los Angeles,CA,2012,5/30/12,$250.00 ,$253.70 ,Monetary Gift,ENGLAND,,
199900,University of Louisville,Louisville,KY,1987,9/11/12,"$155,127.00 ",,Contract,GERMANY,Sanofi-Aventis Germany GmbH,
